Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2004 00:00:00,,,4812,459,,1130,1677,1051,1706,,,7952,3141,6275,,35600,3079,1051
12/31/2005 00:00:00,,,5166,462,2.589346,1243,1985,900,2264,5.410153,12.720969,9127,3151,7142,4.69978,36500,3276,900
12/31/2006 00:00:00,,,4509,623,4.274934,1210,1979,921,2085,7.055892,15.86687,8532,3334,6553,4.486535,31500,2907,921
12/31/2007 00:00:00,,3.619927,4584,1200,-82.024811,1269,2976,1127,2002,13.107591,23.744068,9778,3867,6802,3.713243,31500,2960,1127
12/31/2008 00:00:00,,2.285147,5334,476,-0.388646,1464.9841,981,448,5694,4.204204,11.995916,12866,4108,11885,5.779479,34800,3418,448
12/31/2009 00:00:00,0,2.616615,6071,391,-2.862628,1528,1759,678,4028,3.231405,14.599628,11334,3864,9575,9.013035,32300,3819,678
12/31/2010 00:00:00,0,2.028108,6055,642,3.555165,1650,1970,516,3786,5.708696,17.142857,11158,3897,9188,6.120272,30200,3846,516
12/31/2011 00:00:00,0,2.075417,6002,760,5.69968,1737,2197,982,3300,6.707559,18.031592,11503,4424,9306,5.506926,30500,3876,982
12/31/2012 00:00:00,0,2.22893,6116,1044,6.006309,1864,2314,730,3162,9.272994,18.059299,11014,3918,8700,5.057727,30500,3977,730
12/31/2013 00:00:00,0,5.425,6035,1110,10.598859,1913,2423,648,2633,10.321261,23.040685,10495,3852,8072,4.605782,29200,3917,648
12/31/2014 00:00:00,0,17.447,5773,955,6.737801,1885,2137,676,3149,8.849968,20.685053,11087,3936,8950,4.800267,28200,3767,676
12/31/2015 00:00:00,0,,5971,1008,-6.221233,1953,2178,624,3278,9.051724,23.058824,11185,4176,9007,5.240471,29300,3842,624
12/31/2016 00:00:00,0,11.399,6895,1161,19.115114,2270,2358,1159,3684,9.474457,52.016129,13323,5304,10965,5.490143,31200,4407,1159
12/31/2017 00:00:00,0,9.92,7355,1659,37.215587,2453,2374,678,4208,12.9579,71.003638,12283,4526,9909,5.479563,31000,4724,678
12/31/2017 00:00:00,0,9.92,7355,1659,51.0851076696974,2453,2374,678,4208,12.9579004920722,71.0036379199658,12283,4526,9909,5.81534828807556,31000,4724,678
