Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1992 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1995 00:00:00,,,40358000,5147000,,,,,,,,,,,,,,,,,,,,,
12/31/1996 00:00:00,,,43386000,5813000,,,37793000,64577000,38997000,,,477702000,,439909000,,,,64577000,,,,,,,
12/31/1997 00:00:00,,,49360000,6542000,11.019986,,44584000,103515000,40709000,1.247658,16.228424,570983000,,526399000,13.231617,181000,,103515000,30.375,30.0625,25.0938,22.9375,False,False,False
12/31/1998 00:00:00,,,51794000,5165000,5.318183,,45938000,101662000,48214000,0.869044,11.456464,617679000,,571741000,13.246949,171000,,101662000,30.0625,25.0938,22.9375,31.475,False,False,False
12/31/1999 00:00:00,,,51632000,7882000,10.382441,,44432000,132530000,50143000,1.260865,17.461479,632574000,,588142000,13.859361,155906,,132530000,25.0938,22.9375,31.475,34.785,False,True,True
12/31/2000 00:00:00,,,57772000,7517000,8.984779,,47628000,91609000,72502000,1.179355,16.344072,642191000,,594563000,13.869559,142724,,91609000,22.9375,31.475,34.785,40.215,True,True,True
12/31/2001 00:00:00,,,53116000,6792000,6.582579,,48520000,81536000,56434000,1.074722,14.137963,621764000,,573244000,13.164689,142670,,81536000,31.475,34.785,40.215,46.99,True,True,True
12/31/2002 00:00:00,,,46362000,9249000,11.224118,,50319000,90313000,67176000,1.442097,18.728474,660951000,,447071000,12.993993,133944,,90313000,34.785,40.215,46.99,46.15,True,True,False
12/31/2003 00:00:00,,,48954000,10810000,13.299113,,47980000,113026000,75343000,1.566174,22.011061,719483000,,671503000,14.059234,133549,,113026000,40.215,46.99,46.15,53.39,True,False,False
12/31/2004 00:00:00,,,65682000,13947000,10.114274,,100235000,244504000,87605000,1.524333,18.839678,1110432000,,1010197000,12.373487,175742,,244504000,46.99,46.15,53.39,41.26,False,False,False
12/31/2005 00:00:00,,,85064000,16465000,8.728494,,101533000,419002000,89660000,1.370807,16.346794,1291803000,,1190270000,11.937995,176638,,419002000,46.15,53.39,41.26,14.08,True,False,False
12/31/2006 00:00:00,,,116323000,21133000,9.818429,,135272000,443691000,128806000,1.536085,18.068067,1459737000,,1324465000,11.774669,,,443691000,53.39,41.26,14.08,15.06,False,False,False
12/31/2007 00:00:00,,24844.04,119696000,14982000,2.986737,,146803000,520301000,167073000,0.943604,10.770882,1715746000,,1568943000,11.554984,210000,,520301000,41.26,14.08,15.06,13.34,False,False,False
12/31/2008 00:00:00,,9959.076,113106000,4008000,-5.465936,,177052000,464823000,225410000,0.226845,1.814407,1817943000,,1640891000,12.542153,243000,,464823000,14.08,15.06,13.34,5.56,False,False,False
12/31/2009 00:00:00,,4209.666,150450000,6276000,,,231444000,489285000,339377000,0.310066,-1.324992,2230232000,,1998788000,12.13529,284000,,489285000,15.06,13.34,5.56,11.6,False,False,False
12/31/2010 00:00:00,,1940.069,134194000,-2238000,,,228248000,466557000,359180000,-0.099574,-1.773247,2264909000,,2036661000,11.073903,288000,,466557000,13.34,5.56,11.6,15.57,False,False,False
12/31/2011 00:00:00,,8087.181,115074000,1446000,-0.155412,,230101000,408485000,274850000,0.065818,0.03968,2129046000,,1898945000,10.378032,281791,,408485000,5.56,11.6,15.57,17.89,True,True,True
12/31/2012 00:00:00,,8321.3,100078000,4188000,1.079806,,236956000,452774000,220388000,0.193039,1.283113,2209974000,,1973018000,10.093279,267190,,452774000,11.6,15.57,17.89,16.83,True,True,True
12/31/2013 00:00:00,,13139.357,101697000,11431000,4.412131,,232685000,373650000,203598000,0.530164,4.607779,2102273000,,1869588000,9.856091,242117,,373650000,15.57,17.89,16.83,22.1,True,False,True
12/31/2014 00:00:00,,15342.399,95181000,4833000,1.139584,,243471000,337365000,212415000,0.22977,1.7087,2104534000,,1861063000,9.485579,224000,,337365000,17.89,16.83,22.1,29.52,False,True,True
12/31/2015 00:00:00,,13823.354,93514000,15836000,5.353825,,256176000,269352000,236764000,0.74543,6.266796,2144287000,,1888111000,9.275585,213280,,269352000,16.83,22.1,29.52,,True,True,
12/31/2016 00:00:00,,15940.132,93662000,17822000,5.714715,,266195000,257266000,216823000,0.82274,6.797535,2188067000,,1921872000,9.123088,208000,,257266000,22.1,29.52,,,True,,
12/31/2017 00:00:00,,21779.832,100264000,18232000,5.204508,,267146000,290718000,227402000,0.815877,6.841527,2281234000,,2014088000,9.199916,209376,,290718000,29.52,,,,,,
12/31/2017 00:00:00,,21779.832,100264000,18077000,2.68148203034311,,267146000,290718000,227402000,0.808940816472196,6.77771419396539,2281234000,,2014088000,9.22324879434458,209376,,290718000,29.52,,,,,,
